timestamp,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2
0.6840,-13.52,-13.52,-13.52,-13.52,-13.52,-13.52,-13.52,-13.52
0.6880,-12.79,-12.79,-12.79,-12.79,-12.79,-12.79,-12.79,-12.79
0.6920,-11.66,-11.66,-11.66,-11.66,-11.66,-11.66,-11.66,-11.66
0.6960,-13.69,-13.69,-13.69,-13.69,-13.69,-13.69,-13.69,-13.69
0.7000,-13.60,-13.60,-13.60,-13.60,-13.60,-13.60,-13.60,-13.60
0.7040,-12.97,-12.97,-12.97,-12.97,-12.97,-12.97,-12.97,-12.97
0.7080,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83,-10.83
0.7120,-9.04,-9.04,-9.04,-9.04,-9.04,-9.04,-9.04,-9.04
0.7160,-10.89,-10.89,-10.89,-10.89,-10.89,-10.89,-10.89,-10.89
0.7200,-7.77,-7.77,-7.77,-7.77,-7.77,-7.77,-7.77,-7.77
0.7240,-10.18,-10.18,-10.18,-10.18,-10.18,-10.18,-10.18,-10.18
0.7280,-8.41,-8.41,-8.41,-8.41,-8.41,-8.41,-8.41,-8.41
0.7320,-6.76,-6.76,-6.76,-6.76,-6.76,-6.76,-6.76,-6.76
0.7360,-5.40,-5.40,-5.40,-5.40,-5.40,-5.40,-5.40,-5.40
0.7400,-4.72,-4.72,-4.72,-4.72,-4.72,-4.72,-4.72,-4.72
0.7440,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.7480,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17
0.7520,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
0.7560,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
0.7600,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
0.7640,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
0.7680,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
0.7720,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42
0.7760,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42
0.7800,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83
0.7840,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26
0.7880,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82
0.7920,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23
0.7960,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47
